timestamp,service,requests,errors,latency_ms,cpu_percent,memory_mb
2026-07-13T09:00:00Z,checkout,120,2,180,36,420
2026-07-13T09:01:00Z,checkout,138,1,165,39,430
2026-07-13T09:02:00Z,checkout,156,3,210,44,448
2026-07-13T09:03:00Z,checkout,171,5,260,52,470
2026-07-13T09:04:00Z,checkout,149,2,195,43,452
2026-07-13T09:05:00Z,checkout,187,8,330,64,520
2026-07-13T09:06:00Z,checkout,203,4,275,58,504
2026-07-13T09:07:00Z,checkout,196,3,240,55,498
2026-07-13T09:08:00Z,checkout,214,6,310,67,540
2026-07-13T09:09:00Z,checkout,228,9,380,72,565
2026-07-13T09:00:00Z,recommendations,82,1,95,22,310
2026-07-13T09:01:00Z,recommendations,91,0,88,24,318
2026-07-13T09:02:00Z,recommendations,104,1,105,27,326
2026-07-13T09:03:00Z,recommendations,99,2,130,31,341
2026-07-13T09:04:00Z,recommendations,111,1,118,29,338
2026-07-13T09:05:00Z,recommendations,125,4,190,42,386
2026-07-13T09:06:00Z,recommendations,132,2,150,36,370
2026-07-13T09:07:00Z,recommendations,119,1,125,33,354
2026-07-13T09:08:00Z,recommendations,141,3,170,45,395
2026-07-13T09:09:00Z,recommendations,153,5,215,51,420
